age_hhh,rcsi,plw,elderly,hh_size,disabilities ,ipc,sex_hhh,u5,sanitation,housing 
18.96919841,42,0,0,5,0,CEC,Female,0,No tiene servicio sanitario,Vivienda de materiales de desecho
24.49146637,30,1,0,3,0,CEC,Female,0,No tiene servicio sanitario,Vivienda de materiales de desecho
47.01605725,22,1,0,5,0,CEC,Female,0,No tiene servicio sanitario,Vivienda de materiales de desecho
38.1016516,47,0,0,8,1,CEC,Female,1,Al aire libre,Vivienda de materiales de desecho
49.5376627,41,0,0,4,2,CEC,Male,0,Al aire libre,Vivienda de materiales de desecho
23.45425081,56,0,0,4,2,CEC,Male,1,No tiene servicio sanitario,Vivienda de materiales de desecho
62.07927035,56,0,1,3,2,CEC,Female,0,No tiene servicio sanitario,Vivienda de materiales de desecho
51.99038077,56,0,0,2,0,CEC,Female,0,No tiene servicio sanitario,Vivienda de materiales de desecho
35.32237937,56,0,0,3,0,CEC,Female,0,No tiene servicio sanitario,Vivienda de materiales de desecho
42.9144686,56,0,0,2,0,CEC,Female,0,No tiene servicio sanitario,Vivienda de materiales de desecho
26.34009712,50,1,0,3,0,CEC,Female,0,Al aire libre,Vivienda de materiales de desecho
22.7643536,56,0,0,4,0,CEC,Female,2,No tiene servicio sanitario,Vivienda de materiales de desecho
65.51254757,49,0,1,5,0,CEC,Female,0,No tiene servicio sanitario,En un albergue improvisado
39.88365777,56,1,0,7,0,CEC,Female,1,No tiene servicio sanitario,En un albergue improvisado
26.33725544,56,1,0,9,0,CEC,Female,4,No tiene servicio sanitario,Vivienda de materiales de desecho
30.62475617,56,1,0,4,0,CEC,Male,2,No tiene servicio sanitario,Vivienda de materiales de desecho
16.97593564,56,0,0,4,0,CEC,Female,3,Al aire libre,Vivienda de materiales de desecho
33.53726608,53,1,0,4,0,CEC,Female,1,Al aire libre,Vivienda de materiales de desecho
20.8884436,25,2,0,4,1,CEC,Female,1,Al aire libre,Vivienda de materiales de desecho
37.60603337,47,1,0,4,0,CEC,Female,0,Al aire libre,Vivienda de materiales de desecho
49.27213531,27,1,0,4,0,CEC,Male,2,Al aire libre,Vivienda de materiales de desecho
28.84510613,39,1,0,7,0,CEC,Female,2,Al aire libre,Vivienda de materiales de desecho
27.05939188,48,0,0,3,0,CEC,Male,1,Al aire libre,Vivienda de materiales de desecho
17.21418793,56,0,0,5,0,CEC,Female,3,Al aire libre,Vivienda de materiales de desecho
52.32758282,29,1,0,7,0,CEC,Male,4,Inodoro conectado a pozo séptico,Vivienda de materiales de desecho
28.91083767,43,0,0,6,0,CEC,Female,3,Al aire libre,Vivienda de materiales de desecho
57.87912618,56,0,0,2,0,CEC,Male,0,No tiene servicio sanitario,Vivienda de materiales de desecho
34.11734266,38,0,0,3,0,CEC,Female,0,Al aire libre,Vivienda de materiales de desecho
43.19880913,56,0,0,5,1,CEC,Female,2,No tiene servicio sanitario,Vivienda de materiales de desecho
43.38225323,40,0,0,7,0,CEC,Female,0,Al aire libre,Vivienda de materiales de desecho
24.01197977,26,1,0,6,0,CEC,Female,2,Al aire libre,Vivienda de materiales de desecho
19.05647055,32,1,0,2,0,CEC,Female,1,Al aire libre,Vivienda de materiales de desecho
30.03528724,30,1,0,2,0,CEC,Male,0,Al aire libre,Vivienda de materiales de desecho
40.15987115,46,0,0,4,2,CEC,Female,0,Al aire libre,Vivienda de materiales de desecho
23.61506792,51,0,0,3,0,CEC,Female,1,Al aire libre,Vivienda de materiales de desecho
55.41587132,35,0,0,7,2,CEC,Female,1,Al aire libre,Vivienda de materiales de desecho
33.09356811,38,0,0,6,0,CEC,Female,0,Al aire libre,Vivienda de materiales de desecho
18.45980846,56,0,0,1,0,CEC,InterSex,0,No tiene servicio sanitario,Vivienda de materiales de desecho
20.55975115,56,1,0,4,0,CEC,Female,1,Al aire libre,Vivienda de materiales de desecho
44.65831438,39,1,0,8,0,CEC,Female,2,Al aire libre,Vivienda de materiales de desecho
22.56439151,56,1,0,4,0,CEC,Female,2,No tiene servicio sanitario,Vivienda de materiales de desecho
27.63715356,49,0,0,6,0,CEC,Male,0,Al aire libre,Vivienda de materiales de desecho
45.59748293,56,1,0,6,1,CEC,Male,2,No tiene servicio sanitario,Vivienda de materiales de desecho
28.19054201,52,1,0,7,0,CEC,Female,2,Al aire libre,Vivienda de materiales de desecho
18.29596314,29,0,0,2,0,CEC,Female,0,Al aire libre,Vivienda de materiales de desecho
47.43504449,56,0,0,6,0,CEC,Female,1,No tiene servicio sanitario,Vivienda de materiales de desecho
23.81550122,50,0,0,7,0,CEC,Female,1,Al aire libre,Vivienda de materiales de desecho
52.17691062,21,0,0,2,0,CEC,Female,0,Al aire libre,Vivienda de materiales de desecho
44.96816249,35,0,0,5,1,CEC,Female,0,Al aire libre,Vivienda de materiales de desecho
26.02785766,33,1,0,6,0,CEC,Female,2,Inodoro conectado a pozo séptico,Vivienda de materiales de desecho
52.84986152,56,1,0,4,0,CEC,Female,0,Al aire libre,Vivienda de materiales de desecho
52.29734246,26,0,0,5,1,CEC,Female,0,Al aire libre,Vivienda de materiales de desecho
22.23303542,39,1,0,3,0,CEC,Female,1,Al aire libre,Vivienda de materiales de desecho
53.98392141,56,0,0,4,1,CEC,Female,0,Al aire libre,Vivienda de materiales de desecho
21.27759901,46,1,0,3,0,CEC,Female,1,No tiene servicio sanitario,Vivienda de materiales de desecho
47.54744703,56,0,0,4,1,CEC,Female,0,Letrina,Vivienda de materiales de desecho
22.57497922,21,0,0,3,0,CEC,Female,1,Inodoro conectado a pozo séptico,Vivienda en arriendo (en material de ladrillo)
20.86709291,21,0,0,4,0,CEC,Female,0,No tiene servicio sanitario,Vivienda de materiales de desecho
18.16212157,22,0,0,1,0,CEC,Male,0,Inodoro sin conexión,Vivienda de materiales de desecho
70.9507014,26,0,1,3,3,CEC,Female,0,Inodoro conectado a alcantarillado,Vivienda propia (en material de ladrillo)
28.93183649,50,1,0,4,0,CEC,Male,2,No tiene servicio sanitario,Vivienda de materiales de desecho
34.421261,36,1,0,4,0,CEC,Female,1,Al aire libre,Vivienda de materiales de desecho
36.74862212,27,0,0,5,0,CEC,Female,1,Al aire libre,Vivienda de materiales de desecho
36.21481388,40,0,0,7,1,CEC,Male,2,Inodoro conectado a alcantarillado,Vivienda en arriendo (en material de ladrillo)
33.40628238,25,0,0,5,1,CEC,Female,0,Inodoro conectado a pozo séptico,Otro
38.94184041,32,0,0,7,6,CEC,Female,0,Inodoro conectado a pozo séptico,Vivienda en arriendo (en material de ladrillo)
18.69797212,21,1,0,4,1,CEC,Female,1,Inodoro conectado a alcantarillado,Vivienda en arriendo (en material de ladrillo)
